"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102135",729.315526184442,1.31474747307309,0.0568432761635583,5.53711000343213,3.07503428668861e-08,2.82684789460452e-07
"ENSMUSG00000101097",143.622100122597,0.611464719696824,0.121750701454819,0,1,1
"ENSMUSG00000100025",313.416936154306,2.81222422231645,0.113646000684547,15.946220820799,3.02667042363945e-57,9.13106988502148e-56
"ENSMUSG00000051285",4014.14019914009,-1.09196015077884,0.0257822905091058,-3.56679522893304,0.000361373641264496,0.00252874084510497
"ENSMUSG00000103509",72.9541833792969,-0.330717513119741,0.174669202458334,0,1,1
"ENSMUSG00000048538",3215.3875695736,1.00113497187298,0.0262842328391982,0.0431807114143144,0.965557480807196,1
"ENSMUSG00000104226",80.5551198185901,1.62446396777093,0.177916194970108,3.50987704000663,0.000448313957034711,0.00310455178150943
"ENSMUSG00000039748",2007.37410790386,2.06198211964157,0.0382865048775975,27.737766166871,2.44773466440399e-169,1.71213117836355e-167
"ENSMUSG00000057363",2337.06640101795,0.476413809567267,0.0300849032478534,0,1,1
"ENSMUSG00000090243",100.638094946179,3.63510241805392,0.248701351202789,10.5954487392603,3.1283699190496e-26,5.62360963582937e-25
"ENSMUSG00000100701",1362.35630291946,1.22209708950172,0.041182851194558,5.39295078071403,6.93099426424215e-08,6.23933354965275e-07
"ENSMUSG00000100555",79.8379580529787,1.4945960141239,0.175572581994569,2.81704585365841,0.00484676055123921,0.0310704934524562
"ENSMUSG00000038702",1463.59762903549,-0.149925304355051,0.0385204934524437,0,1,1
"ENSMUSG00000101875",110.291135480538,0.0983951471972061,0.138823467914549,0,1,1
"ENSMUSG00000099732",154.391112449291,1.72245745881559,0.130388923683295,5.54078857626267,3.0111258509674e-08,2.76956522464112e-07
"ENSMUSG00000100020",68.6603529376819,0.926214188674054,0.178891835511253,0,1,1
"ENSMUSG00000101687",131.249225397948,0.179315135986666,0.127011192206742,0,1,1
"ENSMUSG00000033021",2889.81929967106,-0.315577024030174,0.0277206024870364,0,1,1
"ENSMUSG00000078184",2096.96525505162,0.405861874871268,0.0317341756750341,0,1,1
"ENSMUSG00000086235",71.5198598480741,-0.592973549818638,0.180759245584025,0,1,1
"ENSMUSG00000084353",1247.14930766235,1.44288945229623,0.0441311147776381,10.0357639848393,1.0613456788291e-23,1.7927130954867e-22
"ENSMUSG00000103933",526.839175301791,1.27200516179683,0.0665694339938798,4.08603687124392,4.38804079734249e-05,0.000326832733840705
"ENSMUSG00002075967",61.843647628669,4.03699436024636,0.35629110071333,8.52391304235776,1.54251451875318e-17,2.14063994854491e-16
"ENSMUSG00000066693",65.52703457785,1.85328266149906,0.204342547641957,4.17574641867615,2.97010538918575e-05,0.000224010513853066
"ENSMUSG00000101571",60.3141916667919,2.28669868064452,0.230650303444281,5.57856920814912,2.42504989766291e-08,2.24239555302551e-07
"ENSMUSG00000102272",247.781380222634,0.110288802021585,0.092587906483168,0,1,1
"ENSMUSG00000061024",3692.65298460831,0.611057960437883,0.0240112502627936,0,1,1
"ENSMUSG00000099870",180.930989157853,2.11507387686698,0.128789408964703,8.65811782063995,4.79617656616499e-18,6.75867383373388e-17
"ENSMUSG00000026374",9100.22031991043,0.162825142341291,0.015259071425266,0,1,1
"ENSMUSG00000026377",2776.50452765533,0.286710153115902,0.0275769903201952,0,1,1
"ENSMUSG00000025911",34.4567191962725,-0.557650356800427,0.259455228280961,0,1,1
"ENSMUSG00000081441",2673.1593448322,0.524877232636154,0.0281558298775096,0,1,1
"ENSMUSG00000057335",6269.396871549,0.0482240503619289,0.018442680909967,0,1,1
"ENSMUSG00000100551",2559.31715805118,0.548535413831789,0.0287909138118902,0,1,1
"ENSMUSG00000025912",4012.68257917499,-0.471143855085102,0.0238388007276507,0,1,1
"ENSMUSG00000045210",3479.1784749878,-0.302196165040366,0.0252383067913053,0,1,1
"ENSMUSG00000041763",6188.02392354338,0.163788389462115,0.0185038895954133,0,1,1
"ENSMUSG00000026504",2075.53587650089,-0.625970455819136,0.0336754308078866,0,1,1
"ENSMUSG00000091844",72.0211393768612,0.0084530421263106,0.172318702674615,0,1,1
"ENSMUSG00000026483",1786.68768910891,0.568144012107204,0.0344754287037803,0,1,1
"ENSMUSG00000082012",90.7185800337896,0.716147589054172,0.153801803854008,0,1,1
"ENSMUSG00000019699",6384.35592222984,-0.746460275012475,0.0194738234472492,0,1,1
"ENSMUSG00000063659",1944.2896146544,0.165142267979852,0.0330093644568768,0,1,1
"ENSMUSG00000026049",1088.79674804332,0.990218253387616,0.0451307860068347,0,1,1
"ENSMUSG00000043019",4234.09529988761,0.195275363756677,0.0223559015901775,0,1,1
"ENSMUSG00000015962",39.5024689310682,-1.08217698762026,0.259496471192364,-0.316678632440215,0.75148746378807,1
"ENSMUSG00000032666",614.282961175002,1.0925777846081,0.0605866987197871,1.52802160481246,0.126507173923088,0.677948701280136
"ENSMUSG00000015961",10298.8965223454,0.329083130006483,0.0143167088086502,0,1,1
"ENSMUSG00000089657",84.4751149991719,3.05461342927451,0.232362673907713,8.84226969298231,9.37934916375616e-19,1.35586308286398e-17
"ENSMUSG00000014980",625.405082768153,0.781407756648688,0.0587608287332502,0,1,1
"ENSMUSG00000026235",3289.47496932735,0.0758273432052807,0.0254373254059321,0,1,1
"ENSMUSG00000026047",3383.35866169707,-0.386912967308126,0.025766868257723,0,1,1
"ENSMUSG00000091476",41.5819934822944,-0.0715297962395043,0.227581504966085,0,1,1
"ENSMUSG00000104097",38.3071993217159,-1.59957614809059,0.289197026405129,-2.07324451272419,0.0381495297268309,0.221405116149661
"ENSMUSG00000102493",908.182307543711,-0.176027183611457,0.0489763084990902,0,1,1
"ENSMUSG00000004872",1737.06758547174,-0.331421209349911,0.0357981352942073,0,1,1
"ENSMUSG00000118426",27.5704988321212,-1.23091229117467,0.318262640046798,-0.725540048120995,0.468120785324893,1
"ENSMUSG00000041684",1878.41925357198,0.0247162274934033,0.03372089624738,0,1,1
"ENSMUSG00000032908",37.290608731149,-1.06871472068823,0.266521241718386,-0.257820803494671,0.796545208264423,1
"ENSMUSG00000026502",3269.67250011078,0.134099161825648,0.025472676703926,0,1,1
"ENSMUSG00000104126",3199.16060856221,0.65744576856279,0.0258381113462542,0,1,1
"ENSMUSG00000026500",144.163028559892,-0.402372233026718,0.124990162386339,0,1,1
"ENSMUSG00000026048",10733.9867261218,-1.16615800676069,0.0159564711880723,-10.4132050753741,2.15830391414124e-25,3.80875869772208e-24
"ENSMUSG00000089703",346.307638780488,0.176766180724363,0.0781954039689145,0,1,1
"ENSMUSG00000100966",132.154206334398,1.71988351908717,0.140877276946085,5.1100044996091,3.22151139700329e-07,2.78304572728167e-06
"ENSMUSG00000101567",10859.167597074,0.925394083262724,0.0142247012049615,0,1,1
"ENSMUSG00000026245",3008.0173701286,0.622500216459871,0.0266136135627194,0,1,1
"ENSMUSG00000026482",2584.58696560215,-1.01387493828792,0.0317470089788517,-0.437047102521126,0.662077188550511,1
"ENSMUSG00000080950",368.240224689486,1.02859308689197,0.0778350455025718,0.36735491971963,0.713354293250513,1
"ENSMUSG00000008475",8135.97439607174,0.0767424989532357,0.0161743852888517,0,1,1
"ENSMUSG00000056870",92.1181460374431,0.291040231605735,0.151393054688867,0,1,1
"ENSMUSG00000089877",124.323356125288,1.78153803865355,0.146642956332844,5.32953002447418,9.84672416462836e-08,8.75056988134263e-07
"ENSMUSG00000100013",39.9317877142472,0.320787620651358,0.229913420093809,0,1,1
"ENSMUSG00000039630",39098.0854587491,0.600388959680861,0.0073779712468326,0,1,1
"ENSMUSG00000026495",96.3259842004574,0.576442447879214,0.14851041347312,0,1,1
"ENSMUSG00000032883",9898.82285138511,-0.437110521518773,0.0151307883615527,0,1,1
"ENSMUSG00000026494",940.608291249319,-0.281771933630613,0.0484655711143659,0,1,1
"ENSMUSG00000025915",273.258322970536,0.219410522390339,0.0879651566039187,0,1,1
"ENSMUSG00000079470",2384.07660178713,-0.288260596910171,0.0304569675089723,0,1,1
"ENSMUSG00000099377",2103.63919934024,0.931367918000973,0.0323307458563194,0,1,1
"ENSMUSG00000072978",1140.74714074494,0.269420140463539,0.0430283241550506,0,1,1
"ENSMUSG00000046334",299.280442926849,1.1555688301224,0.0872969020460097,1.78206587491968,0.0747384899007525,0.413684934367694
"ENSMUSG00000055067",1169.00377472522,-1.01053926655333,0.0471813934164253,-0.223377602698445,0.823241634414163,1
"ENSMUSG00000096474",672.072474893752,0.397771361819519,0.0560514316959079,0,1,1
"ENSMUSG00000026492",895.642339642799,-0.265173378127323,0.049608101556642,0,1,1
"ENSMUSG00000038949",2966.62524839545,-0.763020611936616,0.0286262956453482,0,1,1
"ENSMUSG00000026043",2076.86928411303,2.61191999403921,0.0421400198070618,38.2515243566423,0,0
"ENSMUSG00000099032",132.026762066644,0.0225637279425478,0.127202535130614,0,1,1
"ENSMUSG00000038936",1903.08390212361,0.0235054183908584,0.0335031901056604,0,1,1
"ENSMUSG00000042772",4974.82387894793,0.155420419609989,0.0206407677590962,0,1,1
"ENSMUSG00000026042",115827.666647844,-0.0543735410412059,0.00431093886666035,0,1,1
"ENSMUSG00000104476",23.7803936097629,-1.08923165626153,0.334822710562041,-0.266504192955557,0.789850930629189,1
"ENSMUSG00000073643",1956.24604165805,-0.461296715904513,0.0341103932901165,0,1,1
"ENSMUSG00000026248",1416.23380113886,0.0992273473423875,0.0387398669497232,0,1,1
"ENSMUSG00000026249",6621.39403225013,-1.15017166176378,0.0202627883787605,-7.41120417174142,1.25157722513998e-13,1.48604449859707e-12
"ENSMUSG00000042751",412.412805013672,-0.101506419700154,0.0723735712197251,0,1,1
"ENSMUSG00000067106",2561.38741770152,1.56245202535408,0.0312795320468448,17.981471861911,2.72170648711101e-72,9.83613383998223e-71
"ENSMUSG00000100397",623.233514086568,-0.532869438048826,0.0608523738444894,0,1,1
"ENSMUSG00000026491",6648.59740914847,0.666869476862134,0.017929814753465,0,1,1
"ENSMUSG00000025917",6030.22503867499,0.229938338376402,0.018723179482398,0,1,1
"ENSMUSG00000104418",685.260089505136,0.355263128171464,0.0554997338621854,0,1,1
"ENSMUSG00000026479",353.012091825559,2.94230093525642,0.11052002246608,17.5741996058003,3.88331932523247e-69,1.34191116204796e-67
"ENSMUSG00000004364",6906.84180316009,0.28128523757711,0.0174856281813459,0,1,1
"ENSMUSG00000026478",22003.3496281356,0.563183187977994,0.00982371119244483,0,1,1
"ENSMUSG00000079138",94.5202710986709,0.810269764790627,0.151381915528285,0,1,1
"ENSMUSG00000041144",24.8085700428529,-1.00851987564682,0.323775927088919,-0.0263141108834823,0.979006799951529,1
"ENSMUSG00000042699",14664.9044042062,0.473857870286682,0.0120102855705044,0,1,1
"ENSMUSG00000101262",1607.17686720046,2.40217585477205,0.0457592885095865,30.6424313061227,3.33339647818323e-206,2.67705688458539e-204
"ENSMUSG00000099858",7816.18447917108,-0.940902526729444,0.0180619951948365,0,1,1
"ENSMUSG00000025986",4106.139916313,-0.455441046550822,0.0235315555757976,0,1,1
"ENSMUSG00000100213",38.3187851642389,-1.01708196004748,0.260853915954437,-0.0654847752044447,0.947788027942627,1
